location,total_sqft,price,bhk
Haralur Road,3400,240,4
Hosa Road,1541,69.84,3
Iblur Village,3596,282,4
Raja Rajeshwari Nagar,1295,70,2
Kasavanhalli,1000,110,3
other,2820,285,3
7th Phase JP Nagar,1370,54.79,3
Electronic City,1100,40,2
Hebbal,4772,510,4
Rajaji Nagar,1370,170,2
7th Phase JP Nagar,1370,54.79,3
JP Nagar,1200,62,2
Gunjur,2000,95,4
9th Phase JP Nagar,3500,300,4
2nd Stage Nagarbhavi,1200,240,5
Kengeri,2400,253,4
Sarjapur  Road,1220,62,3
other,1950,130,3
Somasundara Palya,1178,73,2
Dasanapura,1286,61.44,3
Begur Road,1160,42,2
Jigani,918,55,2
Electronic City,1563,91.84,3
other,1326,62.17,2
other,1350,140,3
Hebbal,3960,386,4
Begur Road,1240,39.06,2
Kaggadasapura,1325,50,2
Sonnenahalli,1100,44,2
Cunningham Road,3875,800,3
Gollarapalya Hosahalli,1605,50,3
Hennur Road,5600,515,5
Somasundara Palya,1260,60,2
Hoodi,1553,83.09,3
Whitefield,1280,52,2
Hebbal,1550,75,3
Arekere,1445,125,3
Murugeshpalya,1550,74,3
Electronics City Phase 1,1515,80.91,3
Hosa Road,1332,86.12,3
Electronic City,1652,70,3
Hegde Nagar,1570,105,3
Sarjapur  Road,5400,725,4
Sector 2 HSR Layout,794,60,1
Seegehalli,1200,62,3
7th Phase JP Nagar,3600,410,4
Hosakerehalli,1200,175,3
JP Nagar,1650,220,4
other,600,85,4
HRBR Layout,2800,250,3
Sarjapur  Road,1750,110,3
Hebbal,1053,48,2
Kanakpura Road,1100,53,3
Kadubeesanahalli,1665,70,3
other,4051,345,4
Malleshwaram,5500,1500,4
Bommasandra,1447,80,3
Balagere,1012,75,2
Malleshpalya,1900,60,3
Narayanapura,1308,92.66,2
Green Glen Layout,3250,230,4
Hormavu,1351,53,1
Electronic City,1000,22,2
other,1200,350,4
Gunjur,1140,49.11,2
Jakkur,3181,260.5,4
Uttarahalli,1250,55,3
Kanakapura,1290,45.15,3
Ambedkar Nagar,1424,90,2
Garudachar Palya,1320,60.6,3
Akshaya Nagar,1662,85.5,3
other,8321,2700,5
Begur Road,1200,45,2
Koramangala,1975,210,3
Garudachar Palya,1295,59.5,3
Battarahalli,1777,100,3
Kadugodi,1900,108,3
Anandapura,1576,59.1,3
Sompura,1020,41,2
other,2100,170,3
Raja Rajeshwari Nagar,648,31.75,1
Neeladri Nagar,1167,38,3
other,1000,160,7
Hoodi,1220,50.89,2
Kogilu,2350,327,3
Vittasandra,1259,67.4,2
Gottigere,2000,82,4
8th Phase JP Nagar,1800,80,3
other,1991,160,3
Bannerghatta,1665,110,3
other,1234,61,2
Mysore Road,1340,64.31,3
Banashankari,1170,46.79,2
Electronics City Phase 1,995,46,2
Old Airport Road,1075,60,2
Electronic City,1025,54.5,2
Rachenahalli,2721,113,3
Thanisandra,2000,99,3
Whitefield,2500,155,4
Mallasandra,1325,70,2
Kadugodi,1314,68.2,2
Kanakpura Road,2265,136,3
7th Phase JP Nagar,4800,170,7
Yelahanka,1026,41,2
other,1200,66,3
other,2220,65,3
KR Puram,1192.5,51.22,2
Hebbal,1420,99.39,2
Sarjapur  Road,1888,95,3
JP Nagar,1300,90.87,2
Rajaji Nagar,1216,97.16,2
other,3000,342,4
Begur,1559,63,3
Harlur,1290,87,2
other,2400,245,6
Whitefield,905,55,1
other,1069,55,2
Sarjapura - Attibele Road,829,22.8,2
Koramangala,1900,200,2
Sarjapur  Road,1300,60,3
Channasandra,1115,33.45,2
Rajaji Nagar,2409,360,3
Ambedkar Nagar,2150,125,3
Marathahalli,1305,69,3
Kanakpura Road,1252,56.32,2
Hosakerehalli,2400,250,5
Whitefield,1200,46.13,2
Koramangala,1750,130,3
Electronic City Phase II,545,35,2
other,1375,105,2
Subramanyapura,1313,66.5,2
Attibele,3640,275,4
other,1693,108,3
other,1160,41.75,2
other,1200,200,3
Subramanyapura,1255,79,3
KR Puram,1000,75,4
other,900,45,2
Yelahanka New Town,1700,90,3
Indira Nagar,1875,180,3
Uttarahalli,1700,88,3
Harlur,1749,115,3
Dasanapura,1500,65,2
other,1175,48,2
Akshaya Nagar,1280,60,2
other,1200,50,2
Ramagondanahalli,1610,115,3
Electronic City,1070,46,2
TC Palaya,1200,66,2
9th Phase JP Nagar,1127,50,2
Indira Nagar,1210,102,2
other,600,23,2
Thigalarapalya,4190,380,4
other,1364,70,2
Whitefield,2268,146,4
other,1150,77.5,3
other,1146,39.5,2
Magadi Road,1345,55,2
other,1110,41,2
Kengeri,750,36,2
other,1156,49.5,2
Pattandur Agrahara,1247,59.8,2
other,1058,60,2
Kaggalipura,950,48,2
Vasanthapura,420,35,2
other,600,90,4
Vijayanagar,1520,103,3
Marathahalli,1215,58.86,2
other,900,30,1
Hennur Road,2350,174,3
Thanisandra,1050,46,2
other,1672,150,3
Laggere,2800,125,5
other,1500,65,3
other,1400,65,2
8th Phase JP Nagar,2700,130,4
Bommasandra,920,37.46,2
Sarjapur  Road,1200,70,3
other,1250,139,3
Hosakerehalli,1817,153,3
Cooke Town,2043,375,5
HSR Layout,1140,46,2
Yelahanka,4346,450,4
Haralur Road,1464,56,2
other,1468,130,2
Electronics City Phase 1,1555,82,3
Munnekollal,1200,110,6
Whitefield,1150,55,2
Kadubeesanahalli,970,35,2
Banashankari,2500,95,4
other,1166,53,2
Konanakunte,2779,317,3
Electronic City,1350,58,3
other,900,46,2
7th Phase JP Nagar,1300,52,3
other,1190,55,3
Kodichikkanahalli,1495,75,3
Indira Nagar,1224,105,2
Banashankari Stage III,1350,68,3
Green Glen Layout,940,56.8,2
Raja Rajeshwari Nagar,1100,55,2
Kaikondrahalli,1300,61,2
other,1480,145,3
Hoodi,1105,46.37,2
Sarjapur  Road,2600,200,3
Yelahanka,1517,76.3,3
Horamavu Banaswadi,3800,200,6
Jalahalli,1615,89.75,3
other,1500,65,3
Mysore Road,1082,50.5,3
Marathahalli,1365,73,2
Electronic City,1000,25,2
CV Raman Nagar,1392,98,2
Kodigehalli,1086,33.66,2
Hennur Road,1586,93.94,3
Hennur,1100,60,2
Electronic City Phase II,1065,30.75,2
TC Palaya,1500,120,3
7th Phase JP Nagar,1575,120,3
Hennur Road,1975,123,3
other,820,24,2
Gubbalala,1745,110,3
Nagarbhavi,1223,60,2
Ananth Nagar,1200,65,3
Basaveshwara Nagar,1200,90,2
Binny Pete,665,46.08,1
Bharathi Nagar,1351,70,2
Hebbal,1355,83.87,3
Sector 7 HSR Layout,3900,300,3
Thanisandra,1588,75.55,3
Amruthahalli,900,60,2
other,440,50,3
Harlur,3385,260,4
Panathur,1370,75,3
Whitefield,1500,71.8,3
other,2280,285,3
Kanakpura Road,1100,53,3
Hoodi,1247,53,2
other,2000,200,3
Balagere,1020.07,68.38,2
other,1033,32,3
other,1460,73,3
Garudachar Palya,1150,52.8,2
Sarjapur  Road,5965,385,5
Babusapalaya,1141,46,2
Yelahanka,2912.5,125.5,4
Doddaballapur,4200,325,4
Hosa Road,1665,125,3
Kanakapura,1295,64,2
Haralur Road,1230,78,2
other,1080,75,3
Kaggalipura,1000,60,2
Kaval Byrasandra,2400,50,3
Whitefield,630.5,32.79,1
Rayasandra,1708,75,3
Thanisandra,1697,115,3
Whitefield,3537,210,4
Hosa Road,615,28.29,1
Banashankari,1350,83,3
Kanakpura Road,1530,66.4,3
Jalahalli,1083,32.49,2
Gottigere,1460,65,3
Babusapalaya,1084,58,2
Bommasandra,1035,41.43,2
other,2400,150,3
Hosur Road,460,21,1
other,950,90,5
Whitefield,1285,55.9,2
other,2000,490,19
Sarjapur,1200,78,3
other,1070,35,2
Hegde Nagar,1801,140,3
Whitefield,1697,115,3
AECS Layout,1199,65,2
Iblur Village,2300,220,3
Mysore Road,1340,64.31,3
Marathahalli,3800,205,4
Jigani,600,50,5
other,1125,75,2
Anandapura,1200,67,2
Subramanyapura,1050,41,2
Nagarbhavi,956,49,2
Sarjapur,1000,30,2
other,1596,95,3
other,1200,150,6
Kanakpura Road,1296,89.06,2
other,1200,170,6
other,1639,123,3
Electronic City Phase II,1219,61.25,2
Uttarahalli,1200,50,3
Bannerghatta Road,1218,73,2
other,920,37,2
Yeshwanthpur,2559,141,3
2nd Phase Judicial Layout,525,26,1
Bannerghatta Road,1427,48.51,3
Kothannur,1270,45,3
Ramagondanahalli,920,65,2
Dommasandra,2700,68,4
other,1740,199,3
Ramamurthy Nagar,1355,40,3
Lingadheeranahalli,1530,90,3
other,1372,90,3
Nehru Nagar,2363,120,4
Marathahalli,3895,220,4
Jakkur,1950,131,3
other,885,40,2
Yelahanka,600,27,2
Kumaraswami Layout,1270,128,5
Vijayanagar,1380,225,2
Kanakpura Road,1339,62,2
Whitefield,1130,36,2
Uttarahalli,1085,43,2
Yeshwanthpur,1430,72,3
Bhoganhalli,1451.5,121,4
other,6200,720,5
other,1490,59.6,3
other,1650,99,4
Bellandur,1286,57,2
other,925,63,2
Bellandur,3016,230,4
Haralur Road,1000,44,2
Whitefield,1215,39,2
other,1200,95,4
Lakshminarayana Pura,1336,100,2
Yeshwanthpur,673,36.85,1
Anandapura,1200,58,2
other,600,63,6
Malleshwaram,1600,160,3
other,1200,79,2
Indira Nagar,2480,750,6
other,2500,270,3
Devanahalli,2400,100,5
Sector 2 HSR Layout,1143,65,2
Kanakpura Road,1470,61.74,2
other,1584,145,4
Marathahalli,1785,94,3
Koramangala,2292,286,3
Kothanur,1460,71,3
Kasturi Nagar,1500,80,3
Yelahanka,1200,140,5
Sanjay nagar,3300,250,5
Chikkalasandra,1230,48,2
Yelahanka New Town,650,20,1
Benson Town,1480,120,2
Thanisandra,1220,43.92,2
other,1570,115,3
other,3000,400,3
Mallasandra,1665,86.91,3
other,1350,380,3
Sarjapur  Road,4000,600,4
Ramamurthy Nagar,1100,68,2
Kathriguppe,1350,87.01,3
Kasavanhalli,1719,116,3
Budigere,664,35,1
Sonnenahalli,1011,50.53,2
other,2400,130,6
other,1680,85,3
Yeshwanthpur,717,49.475,2
other,700,110,4
Whitefield,1520,150,3
Uttarahalli,1350,53,3
Kothanur,1760,150,3
Pattandur Agrahara,875,33,2
Hennur,1231,48,2
Somasundara Palya,1174,74,2
Munnekollal,1560,75,3
other,1464,56,2
Kanakpura Road,2200,130,3
Shivaji Nagar,850,55,2
other,1750,180,3
1st Phase JP Nagar,2024,157,3
other,1500,160,2
other,2100,275,6
Kodihalli,2408,260,3
Devanahalli,1080,44,2
Indira Nagar,2070,225,3
Electronic City,1020,29.46,2
Begur Road,1500,55,3
Mahalakshmi Layout,1575,158,4
Kodichikkanahalli,3250,180,4
Uttarahalli,1175,47,2
Channasandra,1030,34.5,2
Hebbal,1440,115,2
Hoodi,1500,84,2
Thanisandra,1380,62.1,1
other,1200,50,2
other,705,36.5,1
Harlur,2240,155,3
Hegde Nagar,1584.01,103,3
other,1340,77,3
other,1800,70,3
R.T. Nagar,1200,45,2
Sarjapur  Road,685,40,1
other,925,42,2
other,1230,57,2
other,1200,185,5
Kodichikkanahalli,1125,52,2
Hebbal,1100,54,2
Jigani,2400,149,3
Electronic City Phase II,1400,41.58,3
Uttarahalli,1200,225,7
Jakkur,1858,98.3,3
other,1260,41,1
Ambedkar Nagar,3530,290,4
HSR Layout,1185,60,2
other,1200,216,2
Hennur,1255,58,2
Rajaji Nagar,3436,475,4
Kudlu Gate,1335,89,3
Dodda Nekkundi,1999,132,3
other,1200,125,2
Kundalahalli,1397,110,3
Jigani,1200,105,10
Cooke Town,3950,450,4
Yelahanka New Town,1200,130,2
Chikka Tirupathi,1616,95,3
Banashankari Stage III,1200,350,8
other,1270,175,4
Raja Rajeshwari Nagar,1140,38.55,2
Kanakpura Road,525,30,1
Varthur,1200,98,3
other,700,162,1
Balagere,1205.47,81,2
other,1200,130,3
Electronic City,1700,75,3
Thanisandra,750,62,5
Kanakpura Road,1090,54.54,2
Yeshwanthpur,3600,220,4
Kundalahalli,2400,650,1
Thanisandra,923,60.84,1
other,3595,360,4
Green Glen Layout,1050,48,2
Whitefield,1495,79.5,2
Hennur Road,1664,93.865,3
Narayanapura,1485,85,3
Dommasandra,1033,31.5,3
Electronic City,1400,48,3
Indira Nagar,500,70,1
Sarjapur  Road,944,35,2
Whitefield,3250,290,5
Whitefield,1216,66.48,2
other,1100,39.5,2
Thanisandra,1743,93.25,3
Yelahanka,1274,48.42,2
other,2500,425,3
Mysore Road,1512,110,3
other,3100,385,4
Cox Town,1650,100,3
Doddathoguru,1875,55,3
Whitefield,1350,54,3
other,1219,40,2
other,1200,150,4
Sarjapura - Attibele Road,2400,85,3
Hormavu,1141,44.4,2
Anandapura,1151,43.1,2
Bommenahalli,832,77,3
Sarjapur  Road,915,38,2
other,3259,270,3
Bannerghatta Road,1115,65.12,2
Thigalarapalya,2072,139,3
Kaggadasapura,1200,53,2
Singasandra,1300,65,2
Bellandur,1457,85,2
Kannamangala,1262,55,2
BEML Layout,1196,150,4
Ananth Nagar,900,22.5,2
Attibele,420,17,1
Kanakapura,1160,46.39,2
Kasavanhalli,1115,50,2
JP Nagar,1315,85.4,3
Babusapalaya,1500,57,2
HSR Layout,1127,68,2
Kundalahalli,1397,104,3
Whitefield,1173,60,2
Sompura,1090,28,2
Sarjapur  Road,2720,210,3
Jakkur,1230,76,2
other,3200,190,4
Sarjapur  Road,858,31.57,2
Talaghattapura,1868,121,3
Uttarahalli,1689.28,91.2,3
Vishwapriya Layout,600,73,4
Banashankari,1425,49.88,3
Subramanyapura,1200,170,6
Tindlu,1350,100,2
Channasandra,4200,180,6
Uttarahalli,1310,85,3
Haralur Road,3185,175,4
other,970,40,2
Kundalahalli,1397,108,3
Sarjapur,1157,40,2
Kasavanhalli,1125,61.2,2
Sonnenahalli,1157,42,2
Sarjapur  Road,1241,82,2
Binny Pete,660,62,1
Marathahalli,4000,220,4
Rajiv Nagar,2340,148,4
other,596,42,1
other,10000,550,16
other,1200,110,4
other,1910,190,3
Brookefield,1139,80,2
Thigalarapalya,3122,225,4
Sarjapura - Attibele Road,1033,28.41,2
Yeshwanthpur,1168,64.08,2
Chandapura,877,42,2
Electronics City Phase 1,1340,75,2
other,1405,70,3
other,1800,65,3
other,1750,149,3
other,1360,65,3
Malleshwaram,675,148,3
other,985,63,2
other,1300,129,2
7th Phase JP Nagar,1850,150,3
other,1490,88,3
other,620,25,2
Hormavu,1130,42.3,2
Yelachenahalli,1080,55,2
Singasandra,3126,120,4
Begur Road,1410,52.17,3
Bommanahalli,1375,59,3
Hennur Road,1290,94.5,3
Hosa Road,1318,85.28,3
Electronic City,1128,68,2
other,4428,255,4
Kanakpura Road,1051,56.74,2
Kengeri,3500,275,3
Kannamangala,2400,130,4
Yelahanka,1327,85,2
Thigalarapalya,2912,210,4
other,1301,55,2
other,650,30,1
Varthur,1200,67.75,3
other,1500,89.99,3
other,2700,675,4
other,1350,145,4
Electronic City Phase II,1000,28.88,2
Sarjapur  Road,984,45.91,2
Jakkur,1819.18,160,3
Nagarbhavi,900,175,1
Hebbal,1355,83.87,3
Sarakki Nagar,2145,270,3
Malleshwaram,2475,300,3
Kaggadasapura,1118,30,2
other,910,42,1
other,1250,39,3
Hosakerehalli,1304,100,2
Begur Road,1615,58,3
Sarjapur  Road,1400,68,2
CV Raman Nagar,1070,47.5,2
Hebbal,3500,395,3
Hoodi,1132,89.37,2
other,2000,85,3
Hebbal,2400,550,7
Sector 2 HSR Layout,794,65,1
Raja Rajeshwari Nagar,1090,43.59,2
Gottigere,1500,70,3
1st Phase JP Nagar,2059,225,3
Kanakpura Road,525,30,1
Bhoganhalli,1447,75.97,2
Whitefield,1269,75,2
other,4800,700,4
Kanakpura Road,1070,37.45,2
Talaghattapura,1150,28,2
Marathahalli,1208,70,2
Ramamurthy Nagar,1185,45.5,2
Laggere,1200,130,3
Anekal,888,34,2
Chandapura,1015,25.88,2
other,532,22.49,1
other,1060,62,3
Electronic City,700,35,1
other,902,42,2
other,600,95,6
Uttarahalli,1175,47,2
Binny Pete,1365,122,2
Doddathoguru,984,51,2
Hebbal,2700,100,4
Jalahalli East,1475,96,3
Haralur Road,1300,79,2
5th Block Hbr Layout,1200,220,5
Babusapalaya,1453,43.59,3
other,1550,160,2
Akshaya Nagar,1666,95,3
Akshaya Nagar,1410,160,4
Yelahanka,4025,800,4
Murugeshpalya,1845,91,3
Sarjapura - Attibele Road,1676,52,3
Uttarahalli,1137,63,2
Electronic City,1360,70.5,3
other,1374,70,3
Judicial Layout,1700,155,3
Whitefield,3227,250,5
other,2145,125,4
Koramangala,2400,600,4
Kasavanhalli,2170,151,3
other,1080,55,2
Electronic City Phase II,1790,100,3
Doddathoguru,550,17,1
Poorna Pragna Layout,1270,50.79,3
Somasundara Palya,1033,48,2
other,1000,80,2
Binny Pete,2940,280,4
other,1240,52.6,2
Kasturi Nagar,1650,450,5
Kambipura,883,39,2
other,1500,97,3
Marathahalli,1730,139,3
Kasavanhalli,1915,80,3
Whitefield,1545,79,3
other,1865,140,3
Hebbal Kempapura,1150,40,2
other,1200,49,2
Kengeri,963,40,2
Marsur,1200,120,3
Basavangudi,2600,260,4
Kaikondrahalli,1700,108,4
Lingadheeranahalli,1682,120,3
Yelahanka,1371,65,3
Hennur Road,901,49.5,2
Vishwapriya Layout,600,73,7
Ambalipura,1730,120,3
Konanakunte,1200,125,4
EPIP Zone,1500,102,3
Sarjapur  Road,3785,280,4
other,3500,245,4
other,1203,59.86,2
Horamavu Banaswadi,1357,54,2
other,1600,76,3
Yelahanka New Town,350,13.5,1
Varthur,1665,53,3
Ramamurthy Nagar,1400,200,3
Sarjapur  Road,835,46.95,1
other,815,160,2
Haralur Road,1444,80,3
Kanakapura,1277,55,2
Lingadheeranahalli,1521,94.71,3
other,1134,40,2
Vasanthapura,995,34.82,2
Old Madras Road,2760,157,3
Marathahalli,1325,92,2
Kothanur,4000,150,6
Marathahalli,1525,90,3
other,1320,73,3
Electronics City Phase 1,650,23,1
Old Airport Road,1858,167,3
Electronic City,1150,38,2
Electronic City Phase II,769,40,2
Electronic City,1571,105,3
Hennur Road,1445,86.56,3
Hosur Road,1590,135,3
Bommasandra,902,49,2
Sarjapur,2238,140,3
Electronic City,1090,31.49,2
Yelahanka,1712,82,3
Haralur Road,1088,68,2
Somasundara Palya,1575,63.1,3
other,2150,205,6
Kundalahalli,1920,150,3
Margondanahalli,1000,57,2
other,1100,56.1,2
Electronic City,1089,45,2
Horamavu Agara,1106,43.09,2
Kengeri,927,37,2
Kanakpura Road,1339,58,2
Thanisandra,923,45.69,1
Sarjapur  Road,2900,285,3
Lakshminarayana Pura,1175,75,2
Thubarahalli,975,55,2
Hebbal,2400,180,3
Subramanyapura,1330,72,3
Thanisandra,1183,59.74,2
Harlur,1758,133,3
Nagarbhavi,1200,265,3
Hebbal,1255,77.68,3
other,600,110,3
Pai Layout,1100,50,2
Ramamurthy Nagar,1170,46.8,2
other,2400,120,5
Raja Rajeshwari Nagar,1530,51.77,3
Hebbal,1420,107,2
other,1200,300,4
7th Phase JP Nagar,1045,160,6
Kanakpura Road,1591,115,3
7th Phase JP Nagar,1680,120,3
other,675,52,2
Hoodi,1055,57.63,2
Iblur Village,1918,129,3
Sarjapur  Road,1280,76,2
Nagarbhavi,1560,66,3
Sarjapur  Road,1145,49.5,2
Talaghattapura,2106,126,3
other,1801,139,3
Seegehalli,1200,120,5
Rajaji Nagar,1718,288,2
Whitefield,1306,54.65,3
Hebbal,1320,92,2
other,1350,65,3
other,2990,324,4
Kalyan nagar,3800,300,4
Bannerghatta Road,1344,42,3
Bannerghatta Road,1893,100,3
Chandapura,1107,43,3
R.T. Nagar,1200,180,9
Lakshminarayana Pura,1190,75,2
Whitefield,1000,35,2
other,2400,160,2
Kumaraswami Layout,1000,48.5,2
Jalahalli,2113,155,3
KR Puram,1100,46,2
Sector 2 HSR Layout,1200,160,5
Harlur,1884,120,4
Electronic City,1110,40,2
Kudlu,1027,43,2
other,1250,40,3
Sarjapur  Road,1470,62,3
other,1150,75,2
other,1200,165,3
Kudlu Gate,703,52,1
other,1400,62,3
Bellandur,1195,51,2
Narayanapura,1302,69.1,2
Begur Road,1583,74.4,3
other,1488,60,3
other,600,85,4
Kammasandra,1385,34.63,3
Whitefield,3262,260,4
Electronic City,1600,104,3
Old Airport Road,1150,90,2
other,4500,166,9
Sarjapur  Road,1263,78,2
KR Puram,1200,110,7
Kanakpura Road,1299,85,2
Banashankari,1330,78,2
Devanahalli,1282,52.43,3
other,1853,82,3
other,861,35,2
Bannerghatta Road,1600,95,3
other,1256,62.8,2
other,1390,80,3
other,1550,90,3
other,1200,150,11
Hebbal,919,49,2
Margondanahalli,1625,80,3
Gunjur,1195,44,2
Domlur,2400,600,6
Yelenahalli,1159,60,2
Whitefield,1386,57.46,3
Harlur,1197,79,2
Old Airport Road,2690,191,4
Jigani,4303.5,226,4
Bommasandra,1295,50.28,3
other,1310,37.83,3
Whitefield,1132,79.28,2
other,2350,400,3
other,2400,500,4
Hebbal,1645,135,3
Whitefield,1200,45.84,2
Whitefield,3000,330,4
Marathahalli,1937,140,3
Doddathoguru,1015,33.5,2
other,1080,39,2
Kathriguppe,1350,80.99,3
Kengeri Satellite Town,1149,29,3
Kothanur,1185,59,2
Domlur,1720,135,3
Hebbal,2080,175,3
Tindlu,1500,87,3
Yelahanka,1566,97,3
Rajaji Nagar,2386,334,3
other,1500,110,4
KR Puram,1290,49.02,2
other,1531,72,3
other,1839,165,3
other,4200,760,4
Electronic City Phase II,1400,40.43,3
Electronic City,550,15,2
Whitefield,1140,39,2
Tumkur Road,1343.5,57.76,3
Banashankari Stage III,2000,100,4
Kaval Byrasandra,1100,46,2
other,1200,55,2
Bannerghatta,1618,68,3
Whitefield,2830,160,4
Uttarahalli,1315,74,3
Anandapura,1141,42.75,2
AECS Layout,1080,55,2
HBR Layout,1200,60,2
Varthur,1111,41.88,2
NGR Layout,1022,45.9,2
Bannerghatta Road,1275,65,2
other,900,70,2
Rachenahalli,1224,39.2,2
Battarahalli,1135,43,2
Rachenahalli,1050,52.1,2
Kudlu Gate,1535,86,3
Nagavarapalya,1392,130,2
Bellandur,1050,72,2
Hosa Road,1513,103,3
Gottigere,1621,72,3
Bannerghatta Road,892,39,2
Whitefield,1205,40,2
Hebbal,1355,83.87,3
other,1250,300,5
other,1650,345,7
other,1200,70,4
Indira Nagar,1400,168,2
Kengeri,726,35,2
other,1500,149,3
Hebbal,3895,405,4
Horamavu Agara,1079,41,2
Begur Road,1170,46,2
Doddathoguru,1104,39,2
Kanakpura Road,950,45,2
Hormavu,4818,390,4
other,1650,52,3
Kogilu,1559,127,3
other,1100,38,2
Benson Town,1750,150,3
Ramagondanahalli,1215,45.5,2
Talaghattapura,1868,135,3
Electronic City,1130,32.63,2
Kanakpura Road,1570,64.5,3
Sarjapur  Road,1691,98,3
Ardendale,4355,350,5
Hulimavu,1225,55,2
JP Nagar,1690,112,3
Thigalarapalya,1418,103,2
Kasturi Nagar,1896,125,4
Sonnenahalli,605,40,1
Begur Road,800,95,5
Electronic City Phase II,900,32.5,2
other,750,50,1
Hoodi,780,62,3
Ananth Nagar,908,26,2
Sarjapur  Road,3416.5,143,4
Thanisandra,3216,226,4
BEML Layout,2400,225,5
Iblur Village,1400,68,2
Kudlu,1092,44,2
Hulimavu,1255,74,2
Electronic City,1500,100,3
Thanisandra,1296,72,2
Horamavu Banaswadi,925,38,2
Raja Rajeshwari Nagar,1023,42,2
other,600,75,2
Thanisandra,1020,44.5,2
Choodasandra,1530,77,3
Gubbalala,1650,71,3
other,1605,85,3
Hosakerehalli,1925,50,2
Kogilu,1190,50.66,2
Jakkur,1374,68,3
6th Phase JP Nagar,1140,65,2
Green Glen Layout,1725,130,3
Bisuvanahalli,1075,50,3
Kannamangala,1574,93.34,3
Sanjay nagar,965,32,1
Marathahalli,1550,83,3
other,1205,60,2
Kambipura,1082,55,3
Uttarahalli,1215,52.85,3
Hebbal,2483,230,4
other,1200,46.14,2
other,1500,19.5,1
other,2360,600,4
Ardendale,3198,250,4
Kanakpura Road,1452,60.98,3
Electronic City Phase II,1329,41,3
other,1125,44,2
other,1200,70,2
Sarjapur  Road,1350,39.97,3
Uttarahalli,1312.5,51.19,3
Hebbal,2600,195,3
other,1200,160,2
Electronic City Phase II,1220,35.23,3
Pai Layout,1255,80,2
other,1904,155,3
Somasundara Palya,1329,70,2
Chandapura,1200,60,2
Murugeshpalya,2135,160,3
other,2770,315,3
other,813,39,1
other,3884,240,4
Doddaballapur,3876,300,3
Kalena Agrahara,800,30,2
other,4750,120,4
Hormavu,1500,70,3
Bannerghatta Road,1880,95,3
Electronic City,1440,55,3
Akshaya Nagar,1575,90,3
other,1630,97.78,3
Yelahanka,1180,55,3
other,1090,36,2
NGR Layout,1020,48.45,2
other,2425,173,4
Varthur,1097,33.82,2
Raja Rajeshwari Nagar,1070,50,2
Kumaraswami Layout,1000,58,2
Hoodi,1120,150,8
other,1150,56,2
Frazer Town,1900,145,3
other,1141,49,2
Jigani,937,44,2
Green Glen Layout,1075,60,2
Panathur,1000,65.3,2
Kasavanhalli,1450,77.41,3
Yelachenahalli,897,85,5
other,936,43,2
other,1280,75,2
Babusapalaya,1050,45,2
Marathahalli,1350,86,2
Mallasandra,1325,70,2
Devanahalli,1174,59,2
Hosur Road,1890,162,3
other,735,75,1
other,500,24,1
Gottigere,1304,80,3
Yelahanka,1653,120,3
Bisuvanahalli,1075,52,3
7th Phase JP Nagar,1212,42,2
other,1100,50,2
Rajaji Nagar,3436,500,4
other,1200,145,3
Billekahalli,1140,50,2
other,1200,100,2
Kudlu Gate,1532,83,3
Doddaballapur,2776,195,3
Padmanabhanagar,1531,75,3
Poorna Pragna Layout,1270,50.79,3
Uttarahalli,1325,53,2
other,1200,160,3
Electronic City,1156,44,3
R.T. Nagar,2000,320,4
Bannerghatta Road,1260,70,2
Vittasandra,1934,90,2
Malleshpalya,1060,40,2
Kasavanhalli,1476,95,3
Murugeshpalya,1185,85,2
other,1265,82,3
other,3200,150,4
other,1196,56.81,2
EPIP Zone,1280,69,2
Marathahalli,800,86,4
Hulimavu,1175,45,2
other,1850,98,3
Indira Nagar,2400,525,4
Whitefield,1195,70,2
Ulsoor,2000,185,3
other,600,100,7
Hebbal Kempapura,800,155,4
Hosur Road,1180,36.5,2
Jakkur,1050,49.87,2
Electronic City,1400,40.44,3
other,2360,150,4
other,1030,77.25,2
other,1512,65.01,2
Subramanyapura,929,48,2
Jigani,1252,61,3
Green Glen Layout,1485,115,3
Electronics City Phase 1,1124,55,3
TC Palaya,2400,370,6
Indira Nagar,1407,120,3
Hennur Road,1482,97,3
Sector 7 HSR Layout,1163,98.86,2
Jalahalli,1570,140,3
Whitefield,3480,284,3
Chandapura,520,14.04,1
other,2000,160,3
Prithvi Layout,1352,75,2
Electronic City,1152,65,2
other,1575,93,3
Hegde Nagar,1965,125,3
other,1300,70,3
Sarjapur  Road,1,120,4
Marathahalli,957,47,2
Hoskote,1740,60,3
Kanakpura Road,1080,65,5
Neeladri Nagar,1060,35,2
other,975,50,2
Ramamurthy Nagar,1150,51,2
Whitefield,1738,79,3
Bommanahalli,1250,55,3
Bannerghatta Road,1788,90,3
Kanakapura,1151,59,2
Uttarahalli,1300,60,3
Garudachar Palya,1150,52.8,2
other,1380,75,2
Hebbal,1645,117,3
Babusapalaya,1141,45.9,2
7th Phase JP Nagar,1175,82.5,2
Banashankari Stage V,1355,61,3
Dasarahalli,1150,70,2
other,5800,80,5
other,1000,45,2
Balagere,1007,65,2
other,3000,100,4
Kothanur,1436,70,3
Marathahalli,4000,220,4
Somasundara Palya,2372,140,3
R.T. Nagar,1500,240,6
Rajaji Nagar,1200,150,2
Rayasandra,1016,58,2
